,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,target
0,2,0,2,1,0,0,5,18,10,1,0,0,0,145.0,0,0
1,2,0,0,3,1,0,4,54,10,1,0,0,0,139.5,3,0
2,2,0,1,2,0,0,1,99,9,1,0,0,0,125.1,0,1
3,1,0,1,2,1,0,4,56,11,1,0,0,0,209.0,2,0
4,1,0,1,1,1,0,1,10,7,2,0,0,0,137.7,0,0
5,2,0,0,2,2,0,1,377,10,1,0,0,0,115.0,1,1
6,2,0,0,3,1,0,1,57,6,1,0,0,0,117.9,0,1
7,2,0,1,3,1,0,1,65,5,1,0,0,0,119.85,1,0
8,2,0,1,1,2,0,1,301,7,0,0,0,0,115.0,1,1
9,2,0,1,3,1,0,1,9,11,1,0,0,0,120.0,1,0
10,2,0,2,3,1,0,1,192,9,1,0,0,0,19.15,0,1
11,1,0,0,2,1,0,1,52,11,1,0,0,0,90.0,0,1
12,2,0,2,2,1,0,1,72,2,0,0,0,0,60.0,0,0
13,3,0,1,3,1,0,4,111,8,1,0,0,0,137.7,0,1
14,2,0,2,3,1,0,1,62,11,0,0,0,0,75.0,0,0
15,2,0,0,1,1,0,1,4,8,1,0,0,0,121.6,0,1
16,2,0,2,2,0,0,1,18,1,1,0,0,0,65.0,0,0
17,1,0,0,2,1,0,1,99,2,2,0,0,0,81.0,0,0
18,2,0,0,3,1,0,1,37,10,0,0,0,0,105.0,0,0
19,2,0,1,2,1,0,4,36,2,1,0,0,0,61.75,1,0
20,1,0,0,2,1,0,1,192,6,0,0,0,0,95.0,0,0
21,3,0,2,3,1,0,4,23,10,0,0,0,0,105.0,1,0
22,2,0,2,4,0,0,1,217,8,1,0,0,0,80.75,1,0
23,2,0,0,2,1,0,1,43,7,1,0,0,0,117.9,0,1
24,1,0,1,2,1,0,1,5,9,1,0,0,0,78.03,0,0
25,2,0,2,0,1,0,1,13,2,0,0,0,0,87.0,0,0
26,1,0,0,2,2,0,1,265,6,0,0,0,0,87.0,0,0
27,2,0,1,2,0,0,1,244,12,1,0,0,0,80.7,0,1
28,1,0,1,0,1,0,1,12,5,2,0,0,0,93.0,0,0
29,2,0,2,2,1,0,1,99,10,0,0,0,0,65.0,0,1
30,2,2,0,2,1,0,6,92,7,1,0,0,0,177.3,0,1
31,2,0,0,4,0,0,1,84,7,1,0,0,0,94.5,0,1
32,2,0,2,5,1,0,1,14,2,0,0,0,0,43.43,0,0
33,3,0,1,2,1,0,4,27,4,1,0,0,0,177.0,0,1
34,2,1,0,2,1,0,1,7,11,4,0,0,0,0.0,2,0
35,2,0,2,3,1,0,4,19,4,1,0,0,0,131.6,0,1
36,2,0,0,2,0,0,1,5,2,1,0,0,0,81.0,1,0
37,2,0,2,0,1,0,1,74,9,0,0,0,0,102.68,0,0
38,2,0,0,4,1,0,1,256,8,1,0,0,0,90.95,0,1
39,1,0,1,3,0,0,1,6,11,1,0,0,0,49.59,0,0
40,1,0,0,4,1,0,4,92,6,1,0,0,0,132.6,2,0
41,2,0,2,1,1,0,1,19,12,0,0,0,0,58.0,0,0
42,2,2,0,1,1,0,6,36,12,1,0,0,0,206.0,0,0
43,2,0,1,4,1,0,5,54,3,1,0,0,0,95.36,0,0
44,2,0,0,1,1,0,1,5,8,1,0,0,0,130.0,1,0
45,2,0,0,1,1,0,1,1,9,1,0,0,0,105.0,0,0
46,1,0,0,3,1,0,1,1,3,0,0,0,0,75.0,0,0
47,2,0,0,2,0,0,1,19,2,1,0,0,0,81.0,2,0
48,2,0,2,5,1,0,4,10,4,1,0,0,0,128.86,0,1
49,2,0,2,1,0,0,1,240,12,1,0,0,0,67.5,2,1
50,1,0,0,1,1,0,1,13,2,1,0,0,0,85.0,0,0
51,1,0,0,1,0,0,1,0,10,1,0,0,0,84.7,1,1
52,2,0,2,2,1,0,1,77,5,1,0,0,0,126.9,1,0
53,2,0,0,1,0,0,1,182,10,1,0,0,0,98.1,0,1
54,3,0,2,3,1,0,4,127,7,1,0,0,0,141.3,0,0
55,2,0,1,2,1,0,1,224,10,0,0,0,0,65.0,0,0
56,2,0,0,3,2,0,1,7,2,0,0,0,0,116.0,1,0
57,2,0,2,4,1,0,1,261,10,1,0,0,0,93.78,1,0
58,2,0,2,0,2,0,1,386,10,0,0,0,0,115.0,1,1
59,1,0,0,2,1,0,1,30,9,1,0,0,0,85.5,2,0
60,2,0,0,2,1,0,4,110,9,1,0,0,0,149.4,0,1
61,2,0,1,0,1,0,1,15,9,1,0,0,0,99.0,0,1
62,0,2,2,3,1,0,2,185,8,1,0,0,0,84.82,0,1
63,2,0,0,3,1,0,1,204,5,0,0,0,0,100.0,0,1
64,1,0,0,2,2,0,1,273,7,0,0,0,0,87.0,0,0
65,2,0,0,3,1,0,4,19,8,1,0,0,0,156.0,2,0
66,2,2,2,3,1,0,6,178,10,1,0,0,0,162.9,2,1
67,2,0,1,1,0,0,1,268,10,1,0,0,0,95.4,0,1
68,2,0,1,2,0,0,1,175,9,1,0,0,0,104.1,0,1
69,2,0,1,2,2,0,1,309,5,1,0,0,0,101.0,0,1
70,2,0,2,1,0,0,1,18,10,1,0,0,0,120.0,1,1
71,2,0,0,3,0,0,1,54,11,1,0,0,0,57.93,1,0
72,2,0,2,2,1,0,1,30,8,1,0,0,0,111.83,1,0
73,2,0,2,5,2,0,4,115,9,1,0,0,0,141.84,0,0
74,1,0,1,3,1,0,1,113,5,1,0,0,0,89.25,0,1
75,2,0,0,3,1,0,5,34,9,1,0,0,0,152.8,0,0
76,2,0,0,2,1,0,4,55,6,1,0,0,0,113.4,2,0
77,2,0,0,3,1,0,1,22,10,0,0,0,0,95.0,0,0
78,2,0,1,2,1,0,4,91,6,0,0,0,0,90.95,0,1
79,2,2,2,0,1,1,6,112,8,1,0,0,0,198.9,1,0
80,1,0,0,1,1,0,1,4,12,1,0,0,0,97.0,2,0
81,2,0,2,2,2,0,4,64,4,1,0,0,0,144.5,0,0
82,2,0,0,3,1,0,1,43,12,0,0,0,0,118.0,0,0
83,1,0,0,2,1,0,1,188,6,1,0,0,0,130.0,0,1
84,2,0,2,2,1,0,1,0,9,1,0,0,0,126.0,3,0
85,2,0,2,3,1,0,1,46,5,0,0,0,0,86.5,0,0
86,2,0,0,1,0,0,1,77,5,1,0,0,0,116.1,1,0
87,2,0,0,2,2,0,1,39,8,0,0,0,0,101.5,0,0
88,2,0,0,2,1,0,1,59,11,1,0,0,0,93.6,0,1
89,1,0,1,1,2,0,1,301,7,0,0,0,0,90.0,0,0
90,2,0,2,2,1,0,4,56,9,1,0,0,0,120.38,1,0
91,2,0,2,3,1,0,1,172,10,0,0,0,0,80.75,0,0
92,1,0,0,1,1,0,1,0,3,2,0,0,0,79.0,0,0
93,2,0,0,2,1,1,4,88,9,1,0,0,0,158.4,1,0
94,2,0,0,1,1,0,1,41,12,0,0,0,0,65.0,1,0
95,2,0,2,5,1,0,5,57,4,1,0,0,0,105.25,0,0
96,2,0,0,4,1,0,1,4,10,1,0,0,0,145.0,2,0
97,2,1,0,1,1,0,1,91,10,1,0,0,0,121.5,2,1
98,1,0,0,1,1,0,1,7,2,1,0,0,0,66.22,1,0
99,1,0,0,2,1,0,1,32,11,0,0,0,0,73.0,0,0
100,2,0,1,2,0,0,1,34,3,1,0,0,0,80.1,1,1
101,2,1,1,2,1,0,4,111,8,0,0,0,0,94.78,0,0
102,2,0,2,2,0,0,1,149,8,1,0,0,0,85.5,0,1
103,2,0,0,1,1,1,1,9,9,1,0,0,0,168.0,3,0
104,2,0,0,1,1,0,1,0,6,1,0,0,0,73.07,0,0
105,2,0,1,3,1,0,1,85,10,0,0,0,0,85.0,1,0
106,1,0,0,1,1,0,1,12,11,2,1,0,1,65.0,1,0
107,1,0,0,3,1,0,4,52,5,1,0,0,0,140.4,0,0
108,2,0,0,2,1,0,4,78,3,0,0,0,0,69.7,0,0
109,1,0,1,0,1,0,1,16,12,2,1,5,54,65.0,2,0
110,2,0,1,1,2,0,1,301,7,0,0,0,0,115.0,1,1
111,2,0,1,2,0,0,1,53,12,1,0,0,0,79.2,1,0
112,2,0,1,2,1,0,1,19,5,1,0,0,0,130.0,0,0
113,1,0,0,1,1,0,1,6,3,2,0,0,0,79.0,0,0
114,2,0,1,1,0,0,1,28,12,1,0,0,0,88.0,1,0
115,2,0,0,2,1,0,1,68,9,0,0,0,0,65.0,0,0
116,2,0,1,3,0,0,1,1,8,1,0,0,0,96.0,0,0
117,2,0,1,5,1,0,1,27,12,0,0,0,0,48.33,0,0
118,3,0,2,1,1,0,4,86,10,1,0,0,0,151.2,2,0
119,1,0,1,2,1,0,1,3,8,1,0,0,0,117.33,0,0
120,2,1,0,1,1,0,1,17,7,1,0,0,0,129.0,2,0
121,2,0,0,2,2,0,4,80,10,0,0,0,0,136.0,0,0
122,2,0,0,2,1,0,1,1,8,1,0,0,0,106.0,3,0
123,2,0,1,2,1,0,4,18,7,1,0,0,0,166.0,0,1
124,2,0,2,2,1,0,1,75,9,0,0,0,0,80.75,0,0
125,2,0,0,1,1,0,1,64,9,0,0,0,0,85.0,0,0
126,2,2,2,1,1,0,6,88,9,1,0,0,0,207.9,1,1
127,2,0,4,6,1,0,1,207,8,0,0,0,0,72.25,0,0
128,2,0,0,2,1,0,1,263,10,0,0,0,0,110.0,0,1
129,2,0,0,1,0,1,1,11,2,1,0,0,0,90.0,0,0
130,1,0,1,1,1,0,5,11,7,0,0,0,0,181.0,0,0
131,1,0,1,0,0,0,1,28,9,1,0,0,0,104.0,1,0
132,2,0,2,5,1,0,1,210,8,1,0,0,0,67.42,1,0
133,2,0,0,1,0,0,1,86,4,1,0,0,0,85.5,1,0
134,2,0,0,1,1,0,1,1,4,1,0,0,0,101.0,1,0
135,2,0,0,2,1,0,1,18,1,1,0,0,0,73.95,0,0
136,3,0,0,1,1,0,6,129,10,1,0,0,0,146.92,0,1
137,2,0,2,2,1,0,1,2,5,0,0,0,0,81.75,0,0
138,2,0,0,3,0,0,1,1,12,1,0,0,0,78.0,1,0
139,3,0,0,1,1,0,4,60,3,1,0,0,0,123.3,1,1
140,2,0,2,1,2,0,1,138,8,0,0,0,0,94.5,0,1
141,2,0,0,2,0,1,1,62,4,1,0,0,0,103.5,0,0
142,2,0,0,2,0,0,1,0,4,1,0,0,0,75.42,0,0
143,2,0,2,1,1,0,1,80,12,0,0,0,0,75.0,0,0
144,2,0,0,1,0,0,1,22,6,1,0,0,0,129.0,0,1
145,3,0,0,2,1,0,4,93,7,1,0,0,0,137.7,2,0
146,1,0,1,4,1,0,1,36,12,1,0,0,0,88.4,2,0
147,2,0,0,1,1,0,1,125,12,1,0,0,0,72.25,1,0
148,2,0,1,2,1,0,1,19,12,1,0,0,0,104.0,2,0
149,2,0,0,2,0,0,1,31,2,1,0,0,0,67.5,0,1
150,2,0,1,1,0,0,1,72,5,1,0,0,0,116.1,1,0
151,2,0,0,2,2,0,1,377,10,0,0,0,0,115.0,1,1
152,2,1,1,1,1,0,1,1,2,1,0,0,0,120.0,0,0
153,2,0,0,2,2,0,1,265,6,0,0,0,0,115.0,1,1
154,2,0,0,5,1,0,1,63,10,1,0,0,0,72.25,3,0
155,2,0,0,1,2,0,1,55,4,0,0,0,0,104.0,0,0
156,1,0,2,0,0,0,1,4,9,1,0,0,0,118.58,1,0
157,2,0,1,3,1,0,4,17,12,1,0,0,0,125.8,1,0
158,2,0,2,2,1,0,1,24,12,1,0,0,0,95.2,1,0
159,1,0,0,1,1,0,1,1,10,0,0,0,0,99.0,0,0
160,2,0,2,2,1,0,4,56,11,0,0,0,0,60.0,0,0
161,2,0,0,1,1,0,1,0,1,0,0,0,0,72.0,0,0
162,3,0,1,2,1,0,4,99,5,1,0,0,0,159.3,0,1
163,2,0,1,3,0,0,1,263,12,1,0,0,0,63.75,0,1
164,1,0,2,3,1,0,1,269,12,0,0,0,0,70.0,0,0
165,3,0,2,3,1,0,4,1,12,1,0,0,0,128.52,0,0
166,1,0,0,1,1,0,1,84,9,2,0,0,0,65.0,0,0
167,1,0,2,7,1,0,4,28,2,1,0,0,0,101.78,0,1
168,2,0,0,2,2,0,1,292,7,0,0,0,0,115.0,0,1
169,3,0,2,1,1,0,4,61,11,0,0,0,0,90.0,0,0
170,2,0,2,4,2,0,4,67,9,1,0,0,0,183.6,2,0
171,1,0,1,3,1,0,4,137,7,1,0,0,0,134.3,0,1
172,1,0,0,3,1,0,4,11,6,2,0,0,0,90.0,0,0
173,2,0,0,1,0,0,1,139,7,1,0,0,0,85.5,0,1
174,2,0,1,0,1,0,1,3,10,1,1,1,0,126.0,0,0
175,2,0,2,2,1,0,4,33,3,1,0,0,0,97.4,1,0
176,2,0,0,1,2,0,1,83,9,0,0,0,0,112.2,0,0
177,2,0,0,1,1,0,1,1,1,2,0,0,0,77.0,0,0
178,2,0,0,1,1,0,1,83,9,0,0,0,0,112.8,0,0
179,2,0,0,3,1,0,1,16,2,1,0,0,0,65.52,0,0
180,1,0,0,1,1,0,1,14,10,0,0,0,0,100.0,0,0
181,1,0,0,1,1,0,1,2,9,0,0,0,0,75.0,0,0
182,2,0,0,3,1,0,1,276,9,0,0,0,0,116.33,0,1
183,2,0,0,3,1,0,4,92,7,1,0,0,0,121.8,0,1
184,1,0,1,2,1,0,1,42,4,1,0,0,0,112.5,1,0
185,2,0,1,2,1,0,4,102,4,1,0,0,0,96.3,0,0
186,1,0,0,3,1,0,1,19,10,0,1,1,0,80.0,0,0
187,2,0,0,1,0,0,1,38,6,1,0,0,0,89.1,1,0
188,2,0,2,3,1,0,1,11,10,1,0,0,0,119.7,1,0
189,2,0,2,1,2,0,1,103,7,1,0,0,0,94.5,0,1
190,2,0,0,3,1,0,1,163,9,0,0,0,0,110.0,0,1
191,2,0,2,2,1,0,1,50,10,1,0,0,0,126.0,2,0
192,1,0,1,0,1,0,1,3,4,2,1,0,4,65.0,0,0
193,3,0,1,2,1,0,4,283,12,1,0,0,0,110.7,2,0
194,2,0,1,2,1,0,1,305,11,0,0,0,0,89.0,0,1
195,1,0,0,2,1,0,1,32,11,0,0,0,0,73.0,0,0
196,2,0,0,2,2,0,1,39,8,0,0,0,0,109.0,0,0
197,2,1,2,5,1,0,1,156,7,0,0,0,0,94.91,1,0
198,2,0,2,1,1,0,1,2,2,0,0,0,0,82.0,0,0
199,2,0,1,2,1,0,1,73,7,1,0,0,0,76.5,0,1
200,1,0,0,3,1,0,1,143,8,0,0,0,0,90.0,0,0
201,2,0,0,3,1,0,4,91,10,1,0,0,0,132.3,2,1
202,2,0,1,2,1,0,1,84,5,0,0,0,0,75.0,0,0
203,2,0,0,3,2,0,1,34,9,0,0,0,0,224.67,0,1
204,2,0,2,3,1,0,1,75,4,1,0,0,0,82.45,0,1
205,2,0,0,2,1,0,1,28,11,0,0,0,0,85.6,1,0
206,2,0,1,2,1,0,1,2,10,0,0,0,0,65.0,0,0
207,2,0,0,3,0,0,1,85,6,1,0,0,0,103.5,0,1
208,3,0,0,2,1,0,4,16,7,1,0,0,0,162.0,1,1
209,1,0,1,1,1,0,1,0,11,2,1,0,2,65.0,0,0
210,1,0,0,1,1,0,1,17,10,0,0,0,0,95.0,0,0
211,2,0,0,1,0,0,1,13,9,2,0,0,0,100.0,1,1
212,2,0,0,1,0,0,1,47,3,1,0,0,0,71.1,1,0
213,2,0,2,4,1,0,1,85,6,1,0,0,0,108.3,1,0
214,2,0,1,2,1,0,1,199,11,0,0,0,0,68.0,1,0
215,2,0,0,2,2,0,1,265,6,0,0,0,0,115.0,1,1
216,1,0,1,2,0,0,1,14,11,1,0,0,0,88.0,1,0
217,2,0,0,1,0,0,1,63,11,1,0,0,0,79.2,0,1
218,1,0,0,2,1,0,1,103,4,0,0,0,0,115.0,0,1
219,2,0,0,1,1,0,1,249,9,1,0,0,0,117.9,2,1
220,2,0,1,4,1,0,4,108,8,1,0,0,0,127.8,2,0
221,2,0,1,2,0,0,1,9,12,1,0,0,0,78.0,0,0
222,2,0,0,2,0,0,1,27,1,1,0,0,0,77.0,1,0
223,1,0,1,3,1,0,1,191,6,0,0,0,0,95.0,0,0
224,3,0,1,3,1,0,4,64,3,1,0,0,0,115.6,2,0
225,2,0,0,2,1,0,4,30,3,1,0,0,0,116.3,1,0
226,2,0,1,2,0,0,1,28,12,1,0,0,0,88.0,1,0
227,2,0,2,2,1,0,4,71,10,1,0,0,0,101.87,0,1
228,2,0,0,2,2,0,1,74,9,0,0,0,0,101.5,0,0
229,2,0,1,2,1,0,1,121,6,0,0,0,0,90.0,0,1
230,2,0,0,3,1,0,1,279,10,0,0,0,0,110.0,0,1
231,2,0,2,1,1,0,1,54,10,0,0,0,0,95.0,1,0
232,3,0,1,2,1,0,4,163,12,1,0,0,0,122.4,2,0
233,2,0,1,2,1,0,4,94,11,1,0,0,0,65.45,2,0
234,2,0,1,2,1,0,1,418,9,0,0,0,0,75.0,0,1
235,2,0,0,1,0,0,1,37,10,0,0,0,0,76.5,1,0
236,2,0,1,0,0,0,1,284,12,1,0,0,0,67.5,0,1
237,1,0,0,3,1,0,1,151,1,0,0,0,0,71.0,0,0
238,2,0,0,1,0,0,1,32,11,1,0,0,0,88.0,0,1
239,2,0,2,2,0,0,1,42,12,1,0,0,0,74.8,1,0
240,2,0,1,1,1,0,1,61,7,1,0,0,0,105.3,0,1
241,2,0,1,3,1,0,1,28,9,1,0,0,0,116.25,1,0
242,2,0,0,3,1,0,1,314,10,0,0,0,0,75.0,0,1
243,1,0,0,1,1,0,1,8,9,1,0,0,0,139.0,0,0
244,2,0,1,2,0,0,1,30,11,1,0,0,0,87.27,0,0
245,3,0,0,2,1,0,1,239,10,1,0,0,0,128.7,1,1
246,1,0,0,1,2,0,1,219,9,0,0,0,0,84.0,0,0
247,1,0,0,2,1,0,1,181,10,0,0,0,0,120.0,0,1
248,2,0,1,3,1,0,1,62,4,1,0,0,0,109.68,1,0
249,2,0,1,1,1,0,1,57,5,1,0,0,0,126.9,2,0
250,1,0,0,2,1,0,1,14,10,0,0,0,0,100.0,0,0
251,1,0,2,2,1,0,1,204,10,0,0,0,0,61.38,0,0
252,2,0,2,3,1,0,1,22,3,1,0,0,0,137.0,0,1
253,3,0,2,2,1,0,5,3,12,1,0,0,0,110.5,1,0
254,2,0,1,0,1,0,1,286,10,1,0,0,0,90.0,0,1
255,2,0,0,3,1,0,1,105,10,0,0,0,0,75.0,0,0
256,2,0,2,2,1,0,1,98,10,1,0,0,0,85.05,1,0
257,3,0,0,3,1,0,1,28,11,0,0,0,0,51.6,1,0
258,3,0,2,1,1,0,1,209,8,1,0,0,0,127.8,2,1
259,1,0,0,1,1,0,1,22,12,2,0,0,0,65.0,0,0
260,2,0,1,4,1,0,1,141,7,1,0,0,0,107.95,0,0
261,1,0,0,2,1,0,1,41,10,1,0,0,0,123.5,0,0
262,2,0,0,1,0,0,1,8,9,1,0,0,0,119.0,0,0
